#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2023-08-06 00:00:00+00:00 2023-08-07 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf,relh,drct,sped,mslp,p01m,vsby,skyc1,skyc2,skyc3,skyl1,skyl2,skyl3
ABQ,2023-08-06 00:00,-106.6155,35.0419,M,M,290.00,11.50,M,M,10.00,M,M,M,M,M,M
ABQ,2023-08-06 00:05,-106.6155,35.0419,M,M,250.00,12.65,M,M,10.00,M,M,M,M,M,M
ABQ,2023-08-06 00:10,-106.6155,35.0419,M,M,260.00,12.65,M,M,10.00,M,M,M,M,M,M
ABQ,2023-08-06 00:15,-106.6155,35.0419,M,M,260.00,12.65,M,M,10.00,M,M,M,M,M,M
ABQ,2023-08-06 00:20,-106.6155,35.0419,M,M,270.00,12.65,M,M,10.00,M,M,M,M,M,M
ABQ,2023-08-06 00:25,-106.6155,35.0419,M,M,280.00,12.65,M,M,10.00,M,M,M,M,M,M
ABQ,2023-08-06 00:30,-106.6155,35.0419,M,M,280.00,10.35,M,M,10.00,M,M,M,M,M,M
ABQ,2023-08-06 00:35,-106.6155,35.0419,M,M,280.00,12.65,M,M,10.00,M,M,M,M,M,M
ABQ,2023-08-06 00:40,-106.6155,35.0419,M,M,M,M,M,M,10.00,M,M,M,M,M,M
ABQ,2023-08-06 00:45,-106.6155,35.0419,M,M,M,M,M,M,10.00,M,M,M,M,M,M
ABQ,2023-08-06 00:50,-106.6155,35.0419,M,M,280.00,12.65,M,M,10.00,M,M,M,M,M,M
ABQ,2023-08-06 00:52,-106.6155,35.0419,98.00,12.08,280.00,13.80,1008.20,0.00,10.00,BKN,M,M,17000.00,M,M
ABQ,2023-08-06 00:55,-106.6155,35.0419,M,M,280.00,12.65,M,M,10.00,M,M,M,M,M,M
ABQ,2023-08-06 01:00,-106.6155,35.0419,M,M,270.00,12.65,M,M,10.00,M,M,M,M,M,M
ABQ,2023-08-06 01:05,-106.6155,35.0419,M,M,270.00,12.65,M,M,10.00,M,M,M,M,M,M
ABQ,2023-08-06 01:10,-106.6155,35.0419,M,M,270.00,12.65,M,M,10.00,M,M,M,M,M,M
ABQ,2023-08-06 01:15,-106.6155,35.0419,M,M,260.00,12.65,M,M,10.00,M,M,M,M,M,M
ABQ,2023-08-06 01:20,-106.6155,35.0419,M,M,270.00,10.35,M,M,10.00,M,M,M,M,M,M
ABQ,2023-08-06 01:25,-106.6155,35.0419,M,M,290.00,12.65,M,M,10.00,M,M,M,M,M,M
ABQ,2023-08-06 01:30,-106.6155,35.0419,M,M,M,M,M,M,10.00,M,M,M,M,M,M
ABQ,2023-08-06 01:35,-106.6155,35.0419,M,M,290.00,11.50,M,M,10.00,M,M,M,M,M,M
ABQ,2023-08-06 01:40,-106.6155,35.0419,M,M,280.00,10.35,M,M,10.00,M,M,M,M,M,M
