                   station,valid,lon,lat,tmpf,relh,drct,sped,mslp,p01m,vsby,skyc1,skyc2,skyc3,skyl1,skyl2,skyl3
                                  ABQ,8/6/2023 0:00,-106.6155,35.0419,M,M,290,11.5,M,M,10,M,M,M,M,M,M
                                  ABQ,8/6/2023 0:05,-106.6155,35.0419,M,M,250,12.65,M,M,10,M,M,M,M,M,M
                                  ABQ,8/6/2023 0:10,-106.6155,35.0419,M,M,260,12.65,M,M,10,M,M,M,M,M,M
                                  ABQ,8/6/2023 0:15,-106.6155,35.0419,M,M,260,12.65,M,M,10,M,M,M,M,M,M
                                  ABQ,8/6/2023 0:20,-106.6155,35.0419,M,M,270,12.65,M,M,10,M,M,M,M,M,M
                                  ABQ,8/6/2023 0:25,-106.6155,35.0419,M,M,280,12.65,M,M,10,M,M,M,M,M,M
                                  ABQ,8/6/2023 0:30,-106.6155,35.0419,M,M,280,10.35,M,M,10,M,M,M,M,M,M
                                  ABQ,8/6/2023 0:35,-106.6155,35.0419,M,M,280,12.65,M,M,10,M,M,M,M,M,M
                                           ABQ,8/6/2023 0:40,-106.6155,35.0419,M,M,M,M,M,M,10,M,M,M,M,M,M
                                           ABQ,8/6/2023 0:45,-106.6155,35.0419,M,M,M,M,M,M,10,M,M,M,M,M,M
                                  ABQ,8/6/2023 0:50,-106.6155,35.0419,M,M,280,12.65,M,M,10,M,M,M,M,M,M
        ABQ,8/6/2023 0:52,-106.6155,35.0419,98,12.08,280,13.8,1008.2,0,10,BKN,M,M,17000,M,M
                                  ABQ,8/6/2023 0:55,-106.6155,35.0419,M,M,280,12.65,M,M,10,M,M,M,M,M,M
                                  ABQ,8/6/2023 1:00,-106.6155,35.0419,M,M,270,12.65,M,M,10,M,M,M,M,M,M
                                  ABQ,8/6/2023 1:05,-106.6155,35.0419,M,M,270,12.65,M,M,10,M,M,M,M,M,M
                                  ABQ,8/6/2023 1:10,-106.6155,35.0419,M,M,270,12.65,M,M,10,M,M,M,M,M,M
                                  ABQ,8/6/2023 1:15,-106.6155,35.0419,M,M,260,12.65,M,M,10,M,M,M,M,M,M
                                  ABQ,8/6/2023 1:20,-106.6155,35.0419,M,M,270,10.35,M,M,10,M,M,M,M,M,M
                                  ABQ,8/6/2023 1:25,-106.6155,35.0419,M,M,290,12.65,M,M,10,M,M,M,M,M,M
                                           ABQ,8/6/2023 1:30,-106.6155,35.0419,M,M,M,M,M,M,10,M,M,M,M,M,M
                                  ABQ,8/6/2023 1:35,-106.6155,35.0419,M,M,290,11.5,M,M,10,M,M,M,M,M,M
                                  ABQ,8/6/2023 1:40,-106.6155,35.0419,M,M,280,10.35,M,M,10,M,M,M,M,M,M
                                           ABQ,8/6/2023 1:45,-106.6155,35.0419,M,M,M,M,M,M,10,M,M,M,M,M,M
                                  ABQ,8/6/2023 1:50,-106.6155,35.0419,M,M,320,12.65,M,M,10,M,M,M,M,M,M
        ABQ,8/6/2023 1:52,-106.6155,35.0419,98,11.62,320,14.95,1008.2,0,10,BKN,M,M,15000,M,M
                                  ABQ,8/6/2023 1:55,-106.6155,35.0419,M,M,320,12.65,M,M,10,M,M,M,M,M,M
                                   ABQ,8/6/2023 2:00,-106.6155,35.0419,M,M,320,9.2,M,M,10,M,M,M,M,M,M
                                   ABQ,8/6/2023 2:05,-106.6155,35.0419,M,M,300,8.05,M,M,10,M,M,M,M,M,M
                                  ABQ,8/6/2023 2:10,-106.6155,35.0419,M,M,310,10.35,M,M,10,M,M,M,M,M,M
                                  ABQ,8/6/2023 2:15,-106.6155,35.0419,M,M,320,10.35,M,M,10,M,M,M,M,M,M
                                  ABQ,8/6/2023 2:20,-106.6155,35.0419,M,M,310,11.5,M,M,10,M,M,M,M,M,M
                                  ABQ,8/6/2023 2:25,-106.6155,35.0419,M,M,320,10.35,M,M,10,M,M,M,M,M,M
                                  ABQ,8/6/2023 2:30,-106.6155,35.0419,M,M,300,11.5,M,M,10,M,M,M,M,M,M
                                  ABQ,8/6/2023 2:35,-106.6155,35.0419,M,M,310,10.35,M,M,10,M,M,M,M,M,M
                                   ABQ,8/6/2023 2:40,-106.6155,35.0419,M,M,310,9.2,M,M,10,M,M,M,M,M,M
                                  ABQ,8/6/2023 2:45,-106.6155,35.0419,M,M,310,10.35,M,M,10,M,M,M,M,M,M
