station,valid,lon,lat,tmpf,relh,drct,sped,mslp,p01m,vsby,skyc1,skyc2,skyc3,skyl1,skyl2,skyl3
   BDN,2023-08-02 00:15,-121.2002,44.0946,91.4,16.15,350.00,8.05,M,0.0,10.00,CLR,M,M,M,M,M
  BDN,2023-08-02 00:35,-121.2002,44.0946,91.4,16.15,360.00,10.35,M,0.0,10.00,CLR,M,M,M,M,M
  BDN,2023-08-02 00:55,-121.2002,44.0946,89.6,17.09,350.00,12.65,M,0.0,10.00,CLR,M,M,M,M,M
   BDN,2023-08-02 01:15,-121.2002,44.0946,89.6,17.09,20.00,16.10,M,0.0,10.00,CLR,M,M,M,M,M
   BDN,2023-08-02 01:30,-121.2002,44.0946,89.6,17.09,10.00,14.95,M,0.0,10.00,CLR,M,M,M,M,M
  BDN,2023-08-02 01:55,-121.2002,44.0946,87.8,19.4,310.00,13.80,M,0.0,10.00,CLR,M,M,M,M,M
  BDN,2023-08-02 02:15,-121.2002,44.0946,86.0,22.02,320.00,13.80,M,0.0,10.00,CLR,M,M,M,M,M
  BDN,2023-08-02 02:35,-121.2002,44.0946,84.2,23.33,320.00,14.95,M,0.0,10.00,CLR,M,M,M,M,M
  BDN,2023-08-02 02:55,-121.2002,44.0946,82.4,24.72,330.00,11.50,M,0.0,10.00,CLR,M,M,M,M,M
  BDN,2023-08-02 03:15,-121.2002,44.0946,80.6,26.22,320.00,10.35,M,0.0,10.00,CLR,M,M,M,M,M
  BDN,2023-08-02 03:35,-121.2002,44.0946,78.8,27.81,330.00,11.50,M,0.0,10.00,CLR,M,M,M,M,M
  BDN,2023-08-02 03:55,-121.2002,44.0946,77.0,29.51,330.00,10.35,M,0.0,10.00,CLR,M,M,M,M,M
   BDN,2023-08-02 04:15,-121.2002,44.0946,77.0,27.53,320.00,8.05,M,0.0,10.00,CLR,M,M,M,M,M
       BDN,2023-08-02 04:35,-121.2002,44.0946,75.2,29.23,330.00,5.75,M,0.0,M,CLR,M,M,M,M,M
   BDN,2023-08-02 04:55,-121.2002,44.0946,73.4,31.05,330.00,5.75,M,0.0,10.00,CLR,M,M,M,M,M
   BDN,2023-08-02 05:15,-121.2002,44.0946,73.4,28.96,340.00,6.90,M,0.0,10.00,CLR,M,M,M,M,M
   BDN,2023-08-02 05:35,-121.2002,44.0946,71.6,30.77,350.00,5.75,M,0.0,10.00,CLR,M,M,M,M,M
   BDN,2023-08-02 05:55,-121.2002,44.0946,71.6,28.68,310.00,4.60,M,0.0,10.00,CLR,M,M,M,M,M
   BDN,2023-08-02 06:15,-121.2002,44.0946,69.8,32.72,290.00,5.75,M,0.0,10.00,CLR,M,M,M,M,M
   BDN,2023-08-02 06:35,-121.2002,44.0946,68.0,32.43,290.00,5.75,M,0.0,10.00,CLR,M,M,M,M,M
   BDN,2023-08-02 06:55,-121.2002,44.0946,68.0,32.43,290.00,6.90,M,0.0,10.00,CLR,M,M,M,M,M
   BDN,2023-08-02 07:15,-121.2002,44.0946,68.0,32.43,290.00,6.90,M,0.0,10.00,CLR,M,M,M,M,M
   BDN,2023-08-02 07:35,-121.2002,44.0946,66.2,34.51,280.00,4.60,M,0.0,10.00,CLR,M,M,M,M,M
   BDN,2023-08-02 07:55,-121.2002,44.0946,66.2,37.03,290.00,6.90,M,0.0,10.00,CLR,M,M,M,M,M
   BDN,2023-08-02 08:15,-121.2002,44.0946,64.4,39.43,280.00,5.75,M,0.0,10.00,CLR,M,M,M,M,M
     BDN,2023-08-02 08:35,-121.2002,44.0946,62.6,42.0,0.00,0.00,M,0.0,10.00,CLR,M,M,M,M,M
