                          station,valid,lon,lat,tmpf,relh,drct,sped,mslp,p01m,vsby,skyc1,skyc2,skyc3,skyl1,skyl2,skyl3
                   CBM,2023-05-11 00:42,-88.4438,33.6438,77.0,73.78,0.0,0.0,1015.50,0.0,10.0,BKN,M,M,11000.00,M,M
                 CBM,2023-05-11 00:55,-88.4438,33.6438,75.2,78.34,40.0,8.05,1015.40,0.0001,8.0,FEW,M,M,11000.00,M,M
                   CBM,2023-05-11 01:55,-88.4438,33.6438,73.4,78.19,0.0,0.0,1016.00,0.0001,9.0,FEW,M,M,8500.00,M,M
                  CBM,2023-05-11 02:55,-88.4438,33.6438,73.4,78.19,80.0,9.2,1016.00,0.0,10.0,BKN,M,M,18000.00,M,M
                CBM,2023-05-11 03:55,-88.4438,33.6438,73.4,68.94,100.0,10.35,1016.00,0.0,10.0,FEW,M,M,14000.00,M,M
                 CBM,2023-05-11 04:55,-88.4438,33.6438,71.6,73.27,110.0,9.2,1015.70,0.0,10.0,BKN,M,M,15000.00,M,M
                      CBM,2023-05-11 05:21,-88.4438,33.6438,71.6,73.27,120.0,10.35,M,0.0,10.0,FEW,M,M,16000.00,M,M
       CBM,2023-05-11 05:34,-88.4438,33.6438,71.6,73.27,150.0,17.25,M,0.0,10.0,FEW,SCT,BKN,2400.00,3600.00,4900.00
       CBM,2023-05-11 05:44,-88.4438,33.6438,71.6,73.27,170.0,17.25,M,0.0,10.0,FEW,SCT,BKN,3500.00,4500.00,5500.00
      CBM,2023-05-11 05:55,-88.4438,33.6438,66.2,93.92,150.0,14.95,M,0.0,10.0,FEW,SCT,SCT,3500.00,4900.00,18000.00
       CBM,2023-05-11 06:00,-88.4438,33.6438,66.2,93.92,140.0,13.8,M,0.0,10.0,FEW,FEW,SCT,1200.00,3900.00,5000.00
                         CBM,2023-05-11 06:36,-88.4438,33.6438,66.2,93.92,120.0,8.05,M,0.0,8.0,SCT,M,M,1400.00,M,M
                        CBM,2023-05-11 06:55,-88.4438,33.6438,66.2,93.92,130.0,9.2,M,0.25,10.0,FEW,M,M,1400.00,M,M
                        CBM,2023-05-11 07:05,-88.4438,33.6438,66.2,93.92,140.0,6.9,M,0.0,10.0,FEW,M,M,1500.00,M,M
                              CBM,2023-05-11 07:55,-88.4438,33.6438,66.2,93.92,170.0,5.75,M,0.25,10.0,CLR,M,M,M,M,M
                                CBM,2023-05-11 08:55,-88.4438,33.6438,66.2,93.92,0.0,0.0,M,0.0,10.0,CLR,M,M,M,M,M
                   CBM,2023-05-11 09:55,-88.4438,33.6438,66.2,100.0,0.0,0.0,1014.60,0.0,7.0,FEW,M,M,18000.00,M,M
                    CBM,2023-05-11 10:55,-88.4438,33.6438,64.4,93.88,0.0,0.0,1014.70,0.0,9.0,SCT,M,M,17000.00,M,M
                    CBM,2023-05-11 11:01,-88.4438,33.6438,64.4,93.88,0.0,0.0,1014.70,0.0,1.25,SCT,M,M,17000.00,M,M
