                          station,valid,lon,lat,tmpf,relh,drct,sped,mslp,p01m,vsby,skyc1,skyc2,skyc3,skyl1,skyl2,skyl3
                   CBM,2023-05-11 00:42,-88.4438,33.6438,77.00,73.78,0.00,0.00,1015.50,0.00,10.00,BKN,M,M,11000.00,M,M
                 CBM,2023-05-11 00:55,-88.4438,33.6438,75.20,78.34,40.00,8.05,1015.40,0.0001,8.00,FEW,M,M,11000.00,M,M
                   CBM,2023-05-11 01:55,-88.4438,33.6438,73.40,78.19,0.00,0.00,1016.00,0.0001,9.00,FEW,M,M,8500.00,M,M
                  CBM,2023-05-11 02:55,-88.4438,33.6438,73.40,78.19,80.00,9.20,1016.00,0.00,10.00,BKN,M,M,18000.00,M,M
                CBM,2023-05-11 03:55,-88.4438,33.6438,73.40,68.94,100.00,10.35,1016.00,0.00,10.00,FEW,M,M,14000.00,M,M
                 CBM,2023-05-11 04:55,-88.4438,33.6438,71.60,73.27,110.00,9.20,1015.70,0.00,10.00,BKN,M,M,15000.00,M,M
                      CBM,2023-05-11 05:21,-88.4438,33.6438,71.60,73.27,120.00,10.35,M,0.00,10.00,FEW,M,M,16000.00,M,M
       CBM,2023-05-11 05:34,-88.4438,33.6438,71.60,73.27,150.00,17.25,M,0.00,10.00,FEW,SCT,BKN,2400.00,3600.00,4900.00
       CBM,2023-05-11 05:44,-88.4438,33.6438,71.60,73.27,170.00,17.25,M,0.00,10.00,FEW,SCT,BKN,3500.00,4500.00,5500.00
      CBM,2023-05-11 05:55,-88.4438,33.6438,66.20,93.92,150.00,14.95,M,0.00,10.00,FEW,SCT,SCT,3500.00,4900.00,18000.00
       CBM,2023-05-11 06:00,-88.4438,33.6438,66.20,93.92,140.00,13.80,M,0.00,10.00,FEW,FEW,SCT,1200.00,3900.00,5000.00
                         CBM,2023-05-11 06:36,-88.4438,33.6438,66.20,93.92,120.00,8.05,M,0.00,8.00,SCT,M,M,1400.00,M,M
                        CBM,2023-05-11 06:55,-88.4438,33.6438,66.20,93.92,130.00,9.20,M,0.25,10.00,FEW,M,M,1400.00,M,M
                        CBM,2023-05-11 07:05,-88.4438,33.6438,66.20,93.92,140.00,6.90,M,0.00,10.00,FEW,M,M,1500.00,M,M
                              CBM,2023-05-11 07:55,-88.4438,33.6438,66.20,93.92,170.00,5.75,M,0.25,10.00,CLR,M,M,M,M,M
                                CBM,2023-05-11 08:55,-88.4438,33.6438,66.20,93.92,0.00,0.00,M,0.00,10.00,CLR,M,M,M,M,M
                   CBM,2023-05-11 09:55,-88.4438,33.6438,66.20,100.00,0.00,0.00,1014.60,0.00,7.00,FEW,M,M,18000.00,M,M
                    CBM,2023-05-11 10:55,-88.4438,33.6438,64.40,93.88,0.00,0.00,1014.70,0.00,9.00,SCT,M,M,17000.00,M,M
                    CBM,2023-05-11 11:01,-88.4438,33.6438,64.40,93.88,0.00,0.00,1014.70,0.00,1.25,SCT,M,M,17000.00,M,M
                    CBM,2023-05-11 11:04,-88.4438,33.6438,64.40,93.88,0.00,0.00,1014.70,0.00,1.25,SCT,M,M,17000.00,M,M
                    CBM,2023-05-11 11:07,-88.4438,33.6438,64.40,93.88,0.00,0.00,1014.70,0.00,1.88,FEW,M,M,17000.00,M,M
                    CBM,2023-05-11 11:10,-88.4438,33.6438,64.40,93.88,0.00,0.00,1014.70,0.00,2.50,FEW,M,M,17000.00,M,M
                    CBM,2023-05-11 11:16,-88.4438,33.6438,64.40,93.88,0.00,0.00,1014.70,0.00,3.00,SCT,M,M,17000.00,M,M
                          CBM,2023-05-11 11:31,-88.4438,33.6438,64.40,93.88,70.00,4.60,1014.70,0.00,5.00,CLR,M,M,M,M,M
                   CBM,2023-05-11 11:38,-88.4438,33.6438,64.40,93.88,80.00,4.60,1014.70,0.00,6.00,FEW,M,M,14000.00,M,M
                   CBM,2023-05-11 11:47,-88.4438,33.6438,64.40,93.88,80.00,4.60,1014.70,0.00,7.00,FEW,M,M,14000.00,M,M
                    CBM,2023-05-11 11:55,-88.4438,33.6438,68.00,88.26,0.00,0.00,1015.00,0.00,8.00,FEW,M,M,14000.00,M,M
                  CBM,2023-05-11 12:55,-88.4438,33.6438,68.00,88.26,140.00,4.60,1015.70,0.00,9.00,SCT,M,M,12000.00,M,M
            CBM,2023-05-11 13:55,-88.4438,33.6438,69.80,82.98,0.00,0.00,1016.20,0.00,9.00,FEW,SCT,M,5500.00,11000.00,M
          CBM,2023-05-11 14:32,-88.4438,33.6438,69.80,82.98,140.00,5.75,1016.30,0.00,8.00,SCT,BKN,M,5500.00,11000.00,M
          CBM,2023-05-11 14:39,-88.4438,33.6438,69.80,82.98,140.00,5.75,1016.30,0.00,6.00,SCT,BKN,M,5500.00,11000.00,M
        CBM,2023-05-11 14:55,-88.4438,33.6438,69.80,88.34,160.00,4.60,1016.50,0.0001,8.00,SCT,BKN,M,5500.00,10000.00,M
