   station,valid,lon,lat,tmpf,relh,drct,sped,mslp,p01m,vsby,skyc1,skyc2,skyc3,skyl1,skyl2,skyl3
                  CPR,2023-08-21 00:00,-106.4644,42.9080,M,M,40.00,9.20,M,M,10.00,CLR,M,M,M,M,M
                  CPR,2023-08-21 00:05,-106.4644,42.9080,M,M,20.00,8.05,M,M,10.00,CLR,M,M,M,M,M
                 CPR,2023-08-21 00:10,-106.4644,42.9080,M,M,350.00,5.75,M,M,10.00,CLR,M,M,M,M,M
                 CPR,2023-08-21 00:15,-106.4644,42.9080,M,M,350.00,5.75,M,M,10.00,CLR,M,M,M,M,M
                 CPR,2023-08-21 00:20,-106.4644,42.9080,M,M,20.00,12.65,M,M,10.00,CLR,M,M,M,M,M
                 CPR,2023-08-21 00:25,-106.4644,42.9080,M,M,20.00,12.65,M,M,10.00,CLR,M,M,M,M,M
                 CPR,2023-08-21 00:30,-106.4644,42.9080,M,M,20.00,12.65,M,M,10.00,CLR,M,M,M,M,M
                 CPR,2023-08-21 00:35,-106.4644,42.9080,M,M,10.00,12.65,M,M,10.00,CLR,M,M,M,M,M
                CPR,2023-08-21 00:40,-106.4644,42.9080,M,M,360.00,11.50,M,M,10.00,CLR,M,M,M,M,M
                CPR,2023-08-21 00:45,-106.4644,42.9080,M,M,360.00,12.65,M,M,10.00,CLR,M,M,M,M,M
                 CPR,2023-08-21 00:50,-106.4644,42.9080,M,M,10.00,14.95,M,M,10.00,CLR,M,M,M,M,M
CPR,2023-08-21 00:53,-106.4644,42.9080,81.00,50.65,20.00,16.10,1012.40,0.00,10.00,CLR,M,M,M,M,M
                 CPR,2023-08-21 00:55,-106.4644,42.9080,M,M,20.00,16.10,M,M,10.00,CLR,M,M,M,M,M
                 CPR,2023-08-21 01:00,-106.4644,42.9080,M,M,10.00,12.65,M,M,10.00,CLR,M,M,M,M,M
                 CPR,2023-08-21 01:05,-106.4644,42.9080,M,M,10.00,10.35,M,M,10.00,CLR,M,M,M,M,M
                CPR,2023-08-21 01:10,-106.4644,42.9080,M,M,360.00,11.50,M,M,10.00,CLR,M,M,M,M,M
                CPR,2023-08-21 01:15,-106.4644,42.9080,M,M,350.00,12.65,M,M,10.00,CLR,M,M,M,M,M
                CPR,2023-08-21 01:20,-106.4644,42.9080,M,M,360.00,12.65,M,M,10.00,CLR,M,M,M,M,M
                 CPR,2023-08-21 01:25,-106.4644,42.9080,M,M,10.00,12.65,M,M,10.00,CLR,M,M,M,M,M
                 CPR,2023-08-21 01:30,-106.4644,42.9080,M,M,350.00,9.20,M,M,10.00,CLR,M,M,M,M,M
                CPR,2023-08-21 01:35,-106.4644,42.9080,M,M,340.00,11.50,M,M,10.00,CLR,M,M,M,M,M
                  CPR,2023-08-21 01:40,-106.4644,42.9080,M,M,20.00,4.60,M,M,10.00,CLR,M,M,M,M,M
                  CPR,2023-08-21 01:45,-106.4644,42.9080,M,M,90.00,5.75,M,M,10.00,CLR,M,M,M,M,M
                 CPR,2023-08-21 01:50,-106.4644,42.9080,M,M,130.00,2.30,M,M,10.00,CLR,M,M,M,M,M
  CPR,2023-08-21 01:53,-106.4644,42.9080,80.00,48.74,0.00,0.00,1012.60,0.00,10.00,CLR,M,M,M,M,M
                   CPR,2023-08-21 01:55,-106.4644,42.9080,M,M,0.00,0.00,M,M,10.00,CLR,M,M,M,M,M
                         CPR,2023-08-21 02:00,-106.4644,42.9080,M,M,M,M,M,M,10.00,CLR,M,M,M,M,M
                         CPR,2023-08-21 02:05,-106.4644,42.9080,M,M,M,M,M,M,10.00,CLR,M,M,M,M,M
                 CPR,2023-08-21 02:10,-106.4644,42.9080,M,M,340.00,8.05,M,M,10.00,CLR,M,M,M,M,M
                CPR,2023-08-21 02:15,-106.4644,42.9080,M,M,360.00,14.95,M,M,10.00,CLR,M,M,M,M,M
                 CPR,2023-08-21 02:20,-106.4644,42.9080,M,M,10.00,14.95,M,M,10.00,CLR,M,M,M,M,M
