                  station,valid,lon,lat,tmpf,relh,drct,sped,mslp,p01m,vsby,skyc1,skyc2,skyc3,skyl1,skyl2,skyl3
                        CTJ,2023-08-13 00:10,-85.1523,33.6317,70.00,99.32,0.00,0.00,M,0.00,10.00,CLR,M,M,M,M,M
                       CTJ,2023-08-13 00:30,-85.1523,33.6317,70.00,100.00,0.00,0.00,M,0.00,10.00,CLR,M,M,M,M,M
                       CTJ,2023-08-13 00:50,-85.1523,33.6317,69.80,100.00,0.00,0.00,M,0.00,10.00,CLR,M,M,M,M,M
                       CTJ,2023-08-13 01:10,-85.1523,33.6317,69.80,100.00,0.00,0.00,M,0.00,10.00,CLR,M,M,M,M,M
                       CTJ,2023-08-13 01:30,-85.1523,33.6317,69.80,100.00,0.00,0.00,M,0.00,10.00,CLR,M,M,M,M,M
                       CTJ,2023-08-13 01:50,-85.1523,33.6317,69.80,100.00,0.00,0.00,M,0.00,10.00,CLR,M,M,M,M,M
                       CTJ,2023-08-13 02:10,-85.1523,33.6317,70.30,100.00,0.00,0.00,M,0.00,10.00,CLR,M,M,M,M,M
                       CTJ,2023-08-13 02:30,-85.1523,33.6317,70.30,100.00,0.00,0.00,M,0.00,10.00,CLR,M,M,M,M,M
                       CTJ,2023-08-13 02:50,-85.1523,33.6317,70.00,100.00,0.00,0.00,M,0.00,10.00,CLR,M,M,M,M,M
                       CTJ,2023-08-13 03:10,-85.1523,33.6317,70.00,100.00,0.00,0.00,M,0.00,10.00,CLR,M,M,M,M,M
                        CTJ,2023-08-13 03:30,-85.1523,33.6317,70.00,99.32,0.00,0.00,M,0.00,10.00,CLR,M,M,M,M,M
                        CTJ,2023-08-13 03:50,-85.1523,33.6317,70.00,99.32,0.00,0.00,M,0.00,10.00,CLR,M,M,M,M,M
                         CTJ,2023-08-13 04:10,-85.1523,33.6317,69.60,99.32,0.00,0.00,M,0.00,7.00,CLR,M,M,M,M,M
                        CTJ,2023-08-13 04:30,-85.1523,33.6317,69.30,100.00,0.00,0.00,M,0.00,7.00,CLR,M,M,M,M,M
                       CTJ,2023-08-13 04:50,-85.1523,33.6317,69.00,100.00,0.00,0.00,M,0.00,10.00,CLR,M,M,M,M,M
                       CTJ,2023-08-13 05:10,-85.1523,33.6317,69.30,100.00,0.00,0.00,M,0.00,10.00,CLR,M,M,M,M,M
                       CTJ,2023-08-13 05:30,-85.1523,33.6317,69.30,100.00,0.00,0.00,M,0.00,10.00,CLR,M,M,M,M,M
                        CTJ,2023-08-13 05:50,-85.1523,33.6317,69.00,100.00,0.00,0.00,M,0.00,7.00,CLR,M,M,M,M,M
                       CTJ,2023-08-13 06:10,-85.1523,33.6317,69.00,100.00,0.00,0.00,M,0.00,10.00,CLR,M,M,M,M,M
                       CTJ,2023-08-13 06:30,-85.1523,33.6317,69.00,100.00,0.00,0.00,M,0.00,10.00,CLR,M,M,M,M,M
                             CTJ,2023-08-13 06:50,-85.1523,33.6317,68.70,M,0.00,0.00,M,0.00,7.00,CLR,M,M,M,M,M
                CTJ,2023-08-13 07:10,-85.1523,33.6317,69.00,100.00,0.00,0.00,M,0.00,10.00,SCT,M,M,12000.00,M,M
                 CTJ,2023-08-13 07:30,-85.1523,33.6317,68.70,100.00,0.00,0.00,M,0.00,7.00,SCT,M,M,11000.00,M,M
                       CTJ,2023-08-13 07:50,-85.1523,33.6317,68.00,100.00,0.00,0.00,M,0.00,10.00,CLR,M,M,M,M,M
                       CTJ,2023-08-13 08:10,-85.1523,33.6317,68.40,100.00,0.00,0.00,M,0.00,10.00,CLR,M,M,M,M,M
                        CTJ,2023-08-13 08:30,-85.1523,33.6317,68.00,100.00,0.00,0.00,M,0.00,7.00,CLR,M,M,M,M,M
                       CTJ,2023-08-13 08:50,-85.1523,33.6317,68.00,100.00,0.00,0.00,M,0.00,10.00,CLR,M,M,M,M,M
                       CTJ,2023-08-13 09:10,-85.1523,33.6317,68.00,100.00,0.00,0.00,M,0.00,10.00,CLR,M,M,M,M,M
                             CTJ,2023-08-13 09:30,-85.1523,33.6317,67.30,M,0.00,0.00,M,0.00,7.00,CLR,M,M,M,M,M
                            CTJ,2023-08-13 09:50,-85.1523,33.6317,67.30,M,0.00,0.00,M,0.00,10.00,CLR,M,M,M,M,M
                       CTJ,2023-08-13 10:10,-85.1523,33.6317,67.50,100.00,0.00,0.00,M,0.00,10.00,CLR,M,M,M,M,M
                       CTJ,2023-08-13 10:30,-85.1523,33.6317,67.60,100.00,0.00,0.00,M,0.00,10.00,CLR,M,M,M,M,M
                 CTJ,2023-08-13 10:50,-85.1523,33.6317,67.50,100.00,0.00,0.00,M,0.00,10.00,SCT,M,M,8000.00,M,M
         CTJ,2023-08-13 11:10,-85.1523,33.6317,67.60,100.00,0.00,0.00,M,0.00,10.00,SCT,BKN,M,7500.00,9000.00,M
         CTJ,2023-08-13 11:30,-85.1523,33.6317,68.00,100.00,0.00,0.00,M,0.00,10.00,SCT,BKN,M,7500.00,9000.00,M
        CTJ,2023-08-13 11:50,-85.1523,33.6317,68.50,100.00,0.00,0.00,M,0.00,10.00,SCT,BKN,M,7500.00,10000.00,M
                 CTJ,2023-08-13 12:10,-85.1523,33.6317,70.00,100.00,0.00,0.00,M,0.00,10.00,SCT,M,M,7500.00,M,M
                  CTJ,2023-08-13 12:30,-85.1523,33.6317,72.30,95.69,0.00,0.00,M,0.00,10.00,SCT,M,M,7500.00,M,M
                        CTJ,2023-08-13 12:50,-85.1523,33.6317,74.30,90.68,0.00,0.00,M,0.00,10.00,CLR,M,M,M,M,M
                        CTJ,2023-08-13 13:10,-85.1523,33.6317,76.30,85.40,0.00,0.00,M,0.00,10.00,CLR,M,M,M,M,M
                        CTJ,2023-08-13 13:30,-85.1523,33.6317,78.30,78.32,0.00,0.00,M,0.00,10.00,CLR,M,M,M,M,M
                      CTJ,2023-08-13 13:50,-85.1523,33.6317,79.30,76.82,330.00,3.45,M,0.00,10.00,CLR,M,M,M,M,M
