                   station,valid,lon,lat,tmpf,relh,drct,sped,mslp,p01m,vsby,skyc1,skyc2,skyc3,skyl1,skyl2,skyl3
                        EDC,2023-08-16 00:15,-97.5621,30.3925,96.8,25.15,60.00,6.9,M,0.0,10.0,CLR,M,M,M,M,M
                         EDC,2023-08-16 00:35,-97.5621,30.3925,95.0,26.58,50.00,9.2,M,0.0,9.0,CLR,M,M,M,M,M
                        EDC,2023-08-16 00:55,-97.5621,30.3925,93.2,28.1,60.00,6.9,M,0.0,10.0,CLR,M,M,M,M,M
                         EDC,2023-08-16 01:15,-97.5621,30.3925,93.2,28.1,60.00,8.05,M,0.0,9.0,CLR,M,M,M,M,M
                         EDC,2023-08-16 01:35,-97.5621,30.3925,91.4,27.83,70.00,6.9,M,0.0,9.0,CLR,M,M,M,M,M
                        EDC,2023-08-16 01:55,-97.5621,30.3925,89.6,31.45,70.00,5.75,M,0.0,10.0,CLR,M,M,M,M,M
                        EDC,2023-08-16 02:15,-97.5621,30.3925,87.8,33.29,60.00,6.9,M,0.0,10.0,CLR,M,M,M,M,M
                        EDC,2023-08-16 02:35,-97.5621,30.3925,87.8,33.29,50.00,5.75,M,0.0,10.0,CLR,M,M,M,M,M
                        EDC,2023-08-16 02:55,-97.5621,30.3925,86.0,35.25,50.00,5.75,M,0.0,10.0,CLR,M,M,M,M,M
                        EDC,2023-08-16 03:15,-97.5621,30.3925,86.0,35.25,40.00,5.75,M,0.0,10.0,CLR,M,M,M,M,M
                        EDC,2023-08-16 03:35,-97.5621,30.3925,84.2,37.35,40.00,5.75,M,0.0,10.0,CLR,M,M,M,M,M
                        EDC,2023-08-16 03:55,-97.5621,30.3925,86.0,35.25,40.00,8.05,M,0.0,10.0,CLR,M,M,M,M,M
                        EDC,2023-08-16 04:15,-97.5621,30.3925,84.2,34.97,40.00,6.9,M,0.0,10.0,CLR,M,M,M,M,M
                        EDC,2023-08-16 04:35,-97.5621,30.3925,84.2,34.97,40.00,6.9,M,0.0,10.0,CLR,M,M,M,M,M
                        EDC,2023-08-16 04:55,-97.5621,30.3925,82.4,37.07,50.00,6.9,M,0.0,10.0,CLR,M,M,M,M,M
                        EDC,2023-08-16 05:15,-97.5621,30.3925,82.4,37.07,50.00,5.75,M,0.0,10.0,CLR,M,M,M,M,M
                        EDC,2023-08-16 05:35,-97.5621,30.3925,82.4,37.07,50.00,5.75,M,0.0,10.0,CLR,M,M,M,M,M
                        EDC,2023-08-16 05:55,-97.5621,30.3925,80.6,39.3,50.00,5.75,M,0.0,10.0,CLR,M,M,M,M,M
                        EDC,2023-08-16 06:15,-97.5621,30.3925,80.6,39.3,30.00,5.75,M,0.0,10.0,CLR,M,M,M,M,M
                        EDC,2023-08-16 06:35,-97.5621,30.3925,80.6,39.3,30.00,4.6,M,0.0,10.0,CLR,M,M,M,M,M
                        EDC,2023-08-16 06:55,-97.5621,30.3925,80.6,39.3,30.00,5.75,M,0.0,10.0,CLR,M,M,M,M,M
                        EDC,2023-08-16 07:15,-97.5621,30.3925,80.6,39.3,30.00,5.75,M,0.0,10.0,CLR,M,M,M,M,M
                        EDC,2023-08-16 07:35,-97.5621,30.3925,78.8,41.69,40.00,6.9,M,0.0,10.0,CLR,M,M,M,M,M
                        EDC,2023-08-16 07:55,-97.5621,30.3925,78.8,41.69,40.00,6.9,M,0.0,10.0,CLR,M,M,M,M,M
                        EDC,2023-08-16 08:15,-97.5621,30.3925,78.8,44.52,40.00,5.75,M,0.0,10.0,CLR,M,M,M,M,M
                        EDC,2023-08-16 08:35,-97.5621,30.3925,77.0,47.25,30.00,4.6,M,0.0,10.0,CLR,M,M,M,M,M
                        EDC,2023-08-16 08:55,-97.5621,30.3925,77.0,44.25,30.00,5.75,M,0.0,10.0,CLR,M,M,M,M,M
                        EDC,2023-08-16 09:15,-97.5621,30.3925,77.0,44.25,40.00,5.75,M,0.0,10.0,CLR,M,M,M,M,M
                         EDC,2023-08-16 09:35,-97.5621,30.3925,75.2,50.17,0.00,0.0,M,0.0,10.0,CLR,M,M,M,M,M
                         EDC,2023-08-16 09:55,-97.5621,30.3925,75.2,50.17,0.00,0.0,M,0.0,10.0,CLR,M,M,M,M,M
                   EDC,2023-08-16 10:15,-97.5621,30.3925,73.4,56.88,0.00,0.0,M,0.0,10.0,FEW,M,M,1900.00,M,M
           EDC,2023-08-16 10:35,-97.5621,30.3925,73.4,56.88,0.00,0.0,M,0.0,10.0,BKN,BKN,M,1900.00,2700.00,M
           EDC,2023-08-16 10:55,-97.5621,30.3925,73.4,56.88,0.00,0.0,M,0.0,10.0,BKN,BKN,M,2000.00,2800.00,M
   EDC,2023-08-16 11:15,-97.5621,30.3925,73.4,56.88,0.00,0.0,M,0.0,10.0,BKN,BKN,BKN,1900.00,2700.00,3700.00
EDC,2023-08-16 11:35,-97.5621,30.3925,73.4,56.88,340.00,6.9,M,0.0,10.0,BKN,BKN,OVC,1800.00,3100.00,10000.00
 EDC,2023-08-16 11:55,-97.5621,30.3925,73.4,56.88,340.00,5.75,M,0.0,9.0,FEW,FEW,SCT,1700.00,2100.00,10000.00
                       EDC,2023-08-16 12:15,-97.5621,30.3925,73.4,53.29,340.00,5.75,M,0.0,10.0,CLR,M,M,M,M,M
                         EDC,2023-08-16 12:35,-97.5621,30.3925,75.2,50.17,0.00,0.0,M,0.0,10.0,CLR,M,M,M,M,M
                       EDC,2023-08-16 12:55,-97.5621,30.3925,77.0,47.25,350.00,4.6,M,0.0,10.0,CLR,M,M,M,M,M
                         EDC,2023-08-16 13:15,-97.5621,30.3925,78.8,44.52,0.00,0.0,M,0.0,10.0,CLR,M,M,M,M,M
                         EDC,2023-08-16 13:35,-97.5621,30.3925,80.6,41.97,0.00,0.0,M,0.0,10.0,CLR,M,M,M,M,M
                          EDC,2023-08-16 13:55,-97.5621,30.3925,82.4,39.58,0.00,0.0,M,0.0,9.0,CLR,M,M,M,M,M
                         EDC,2023-08-16 14:15,-97.5621,30.3925,84.2,37.35,0.00,0.0,M,0.0,10.0,CLR,M,M,M,M,M
                       EDC,2023-08-16 14:35,-97.5621,30.3925,84.2,37.35,140.00,4.6,M,0.0,10.0,CLR,M,M,M,M,M
                         EDC,2023-08-16 14:55,-97.5621,30.3925,86.0,35.25,0.00,0.0,M,0.0,10.0,CLR,M,M,M,M,M
                          EDC,2023-08-16 15:15,-97.5621,30.3925,87.8,33.29,0.00,0.0,M,0.0,9.0,CLR,M,M,M,M,M
                            EDC,2023-08-16 15:35,-97.5621,30.3925,89.6,31.45,M,6.9,M,0.0,10.0,CLR,M,M,M,M,M
                         EDC,2023-08-16 15:55,-97.5621,30.3925,89.6,31.45,0.00,0.0,M,0.0,10.0,CLR,M,M,M,M,M
                         EDC,2023-08-16 16:15,-97.5621,30.3925,89.6,29.45,0.00,0.0,M,0.0,10.0,CLR,M,M,M,M,M
                         EDC,2023-08-16 16:35,-97.5621,30.3925,91.4,29.72,0.00,0.0,M,0.0,10.0,CLR,M,M,M,M,M
                        EDC,2023-08-16 16:55,-97.5621,30.3925,93.2,28.1,40.00,6.9,M,0.0,10.0,CLR,M,M,M,M,M
                            EDC,2023-08-16 17:15,-97.5621,30.3925,93.2,28.1,M,3.45,M,0.0,10.0,CLR,M,M,M,M,M
                        EDC,2023-08-16 17:35,-97.5621,30.3925,93.2,26.31,30.00,6.9,M,0.0,10.0,CLR,M,M,M,M,M
                        EDC,2023-08-16 17:55,-97.5621,30.3925,95.0,24.89,80.00,3.45,M,0.0,10.0,CLR,M,M,M,M,M
                        EDC,2023-08-16 18:15,-97.5621,30.3925,95.0,24.89,70.00,6.9,M,0.0,10.0,CLR,M,M,M,M,M
                          EDC,2023-08-16 18:35,-97.5621,30.3925,95.0,24.89,0.00,0.0,M,0.0,9.0,CLR,M,M,M,M,M
                            EDC,2023-08-16 18:55,-97.5621,30.3925,96.8,23.55,M,6.9,M,0.0,10.0,CLR,M,M,M,M,M
                          EDC,2023-08-16 19:15,-97.5621,30.3925,96.8,23.55,0.00,0.0,M,0.0,9.0,CLR,M,M,M,M,M
                          EDC,2023-08-16 19:35,-97.5621,30.3925,98.6,22.29,0.00,0.0,M,0.0,9.0,CLR,M,M,M,M,M
                         EDC,2023-08-16 19:55,-97.5621,30.3925,98.6,22.29,20.00,4.6,M,0.0,9.0,CLR,M,M,M,M,M
                         EDC,2023-08-16 20:15,-97.5621,30.3925,98.6,22.29,0.00,0.0,M,0.0,10.0,CLR,M,M,M,M,M
                            EDC,2023-08-16 20:35,-97.5621,30.3925,100.4,21.11,M,5.75,M,0.0,9.0,CLR,M,M,M,M,M
                      EDC,2023-08-16 20:55,-97.5621,30.3925,100.4,21.11,340.00,9.2,M,0.0,10.0,CLR,M,M,M,M,M
                       EDC,2023-08-16 21:35,-97.5621,30.3925,100.4,19.76,50.00,9.2,M,0.0,10.0,CLR,M,M,M,M,M
                            EDC,2023-08-16 21:55,-97.5621,30.3925,100.4,19.76,M,4.6,M,0.0,9.0,CLR,M,M,M,M,M
                       EDC,2023-08-16 22:15,-97.5621,30.3925,100.4,19.76,50.00,6.9,M,0.0,10.0,CLR,M,M,M,M,M
                       EDC,2023-08-16 22:35,-97.5621,30.3925,100.4,18.48,30.00,5.75,M,0.0,10.0,CLR,M,M,M,M,M
                      EDC,2023-08-16 22:55,-97.5621,30.3925,100.4,19.76,70.00,10.35,M,0.0,10.0,CLR,M,M,M,M,M
                      EDC,2023-08-16 23:15,-97.5621,30.3925,100.4,19.76,100.00,6.9,M,0.0,10.0,CLR,M,M,M,M,M
                        EDC,2023-08-16 23:35,-97.5621,30.3925,100.4,19.76,80.00,8.05,M,0.0,9.0,CLR,M,M,M,M,M
                       EDC,2023-08-16 23:55,-97.5621,30.3925,98.6,20.87,70.00,10.35,M,0.0,10.0,CLR,M,M,M,M,M
