#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2023-05-22 00:00:00+00:00 2023-05-23 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf,relh,drct,sped,mslp,p01m,vsby,skyc1,skyc2,skyc3,skyl1,skyl2,skyl3
FBL,2023-05-22 00:15,-93.3108,44.3247,75.20,27.26,0.00,0.00,M,0.00,10.00,CLR,M,M,M,M,M
FBL,2023-05-22 00:35,-93.3108,44.3247,75.20,29.23,0.00,0.00,M,0.00,10.00,CLR,M,M,M,M,M
FBL,2023-05-22 00:55,-93.3108,44.3247,73.40,33.29,70.00,3.45,M,0.00,10.00,CLR,M,M,M,M,M
FBL,2023-05-22 01:15,-93.3108,44.3247,73.40,31.05,50.00,3.45,M,0.00,10.00,CLR,M,M,M,M,M
FBL,2023-05-22 01:35,-93.3108,44.3247,69.80,40.29,60.00,3.45,M,0.00,10.00,CLR,M,M,M,M,M
FBL,2023-05-22 01:55,-93.3108,44.3247,68.00,42.85,0.00,0.00,M,0.00,10.00,CLR,M,M,M,M,M
FBL,2023-05-22 02:15,-93.3108,44.3247,66.20,45.60,0.00,0.00,M,0.00,10.00,CLR,M,M,M,M,M
FBL,2023-05-22 02:35,-93.3108,44.3247,66.20,45.60,50.00,3.45,M,0.00,10.00,CLR,M,M,M,M,M
FBL,2023-05-22 02:55,-93.3108,44.3247,64.40,48.55,0.00,0.00,M,0.00,10.00,CLR,M,M,M,M,M
FBL,2023-05-22 03:15,-93.3108,44.3247,59.00,67.33,0.00,0.00,M,0.00,10.00,CLR,M,M,M,M,M
FBL,2023-05-22 03:35,-93.3108,44.3247,62.60,51.72,0.00,0.00,M,0.00,10.00,CLR,M,M,M,M,M
FBL,2023-05-22 03:55,-93.3108,44.3247,59.00,62.92,0.00,0.00,M,0.00,10.00,SCT,M,M,9500.00,M,M
FBL,2023-05-22 04:15,-93.3108,44.3247,62.60,51.72,0.00,0.00,M,0.00,10.00,SCT,M,M,9500.00,M,M
FBL,2023-05-22 04:35,-93.3108,44.3247,57.20,71.83,0.00,0.00,M,0.00,10.00,SCT,M,M,9500.00,M,M
FBL,2023-05-22 04:55,-93.3108,44.3247,57.20,71.83,0.00,0.00,M,0.00,10.00,SCT,M,M,9500.00,M,M
FBL,2023-05-22 05:15,-93.3108,44.3247,55.40,76.66,0.00,0.00,M,0.00,10.00,CLR,M,M,M,M,M
FBL,2023-05-22 05:35,-93.3108,44.3247,53.60,76.50,0.00,0.00,M,0.00,10.00,CLR,M,M,M,M,M
FBL,2023-05-22 05:55,-93.3108,44.3247,53.60,76.50,0.00,0.00,M,0.00,10.00,CLR,M,M,M,M,M
FBL,2023-05-22 06:15,-93.3108,44.3247,55.40,71.64,0.00,0.00,M,0.00,10.00,CLR,M,M,M,M,M
FBL,2023-05-22 06:35,-93.3108,44.3247,53.60,81.87,0.00,0.00,M,0.00,10.00,CLR,M,M,M,M,M
FBL,2023-05-22 06:55,-93.3108,44.3247,53.60,76.50,0.00,0.00,M,0.00,10.00,CLR,M,M,M,M,M
FBL,2023-05-22 07:15,-93.3108,44.3247,53.60,76.50,0.00,0.00,M,0.00,10.00,CLR,M,M,M,M,M
FBL,2023-05-22 07:35,-93.3108,44.3247,51.80,81.74,160.00,3.45,M,0.00,10.00,CLR,M,M,M,M,M
FBL,2023-05-22 07:55,-93.3108,44.3247,51.80,81.74,160.00,3.45,M,0.00,10.00,CLR,M,M,M,M,M
FBL,2023-05-22 08:15,-93.3108,44.3247,55.40,66.91,0.00,0.00,M,0.00,10.00,SCT,M,M,8500.00,M,M
FBL,2023-05-22 08:35,-93.3108,44.3247,55.40,66.91,0.00,0.00,M,0.00,10.00,CLR,M,M,M,M,M
FBL,2023-05-22 08:55,-93.3108,44.3247,55.40,66.91,160.00,4.60,M,0.00,10.00,SCT,M,M,8500.00,M,M
FBL,2023-05-22 09:15,-93.3108,44.3247,55.40,66.91,0.00,0.00,M,0.00,10.00,CLR,M,M,M,M,M
FBL,2023-05-22 09:35,-93.3108,44.3247,55.40,66.91,0.00,0.00,M,0.00,10.00,CLR,M,M,M,M,M
FBL,2023-05-22 09:55,-93.3108,44.3247,53.60,71.45,0.00,0.00,M,0.00,10.00,CLR,M,M,M,M,M
FBL,2023-05-22 10:15,-93.3108,44.3247,55.40,71.64,170.00,3.45,M,0.00,10.00,CLR,M,M,M,M,M
FBL,2023-05-22 10:35,-93.3108,44.3247,55.40,71.64,170.00,3.45,M,0.00,10.00,CLR,M,M,M,M,M
FBL,2023-05-22 10:55,-93.3108,44.3247,55.40,71.64,0.00,0.00,M,0.00,10.00,SCT,M,M,8500.00,M,M
