#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2021-02-14 00:00:00+00:00 2021-02-15 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf,relh,drct,sped,mslp,p01m,vsby,skyc1,skyc2,skyc3,skyl1,skyl2,skyl3
ILM,2021-02-14 00:00,-77.9000,34.2700,M,M,350.00,5.75,M,M,6.00,BKN,OVC,M,600.00,1400.00,M
ILM,2021-02-14 00:05,-77.9000,34.2700,M,M,350.00,8.05,M,0.25,6.00,BKN,OVC,M,700.00,1300.00,M
ILM,2021-02-14 00:10,-77.9000,34.2700,M,M,320.00,8.05,M,0.25,10.00,OVC,M,M,700.00,M,M
ILM,2021-02-14 00:15,-77.9000,34.2700,M,M,340.00,8.05,M,0.25,8.00,OVC,M,M,700.00,M,M
ILM,2021-02-14 00:20,-77.9000,34.2700,M,M,350.00,8.05,M,0.25,8.00,BKN,OVC,M,700.00,1300.00,M
ILM,2021-02-14 00:25,-77.9000,34.2700,M,M,330.00,8.05,M,0.25,10.00,BKN,OVC,M,800.00,1300.00,M
ILM,2021-02-14 00:30,-77.9000,34.2700,M,M,330.00,11.50,M,0.25,8.00,OVC,M,M,800.00,M,M
ILM,2021-02-14 00:35,-77.9000,34.2700,M,M,340.00,8.05,M,0.51,6.00,OVC,M,M,800.00,M,M
ILM,2021-02-14 00:40,-77.9000,34.2700,M,M,340.00,8.05,M,0.51,6.00,OVC,M,M,800.00,M,M
ILM,2021-02-14 00:45,-77.9000,34.2700,M,M,340.00,9.20,M,0.51,6.00,BKN,OVC,M,800.00,1200.00,M
ILM,2021-02-14 00:50,-77.9000,34.2700,M,M,340.00,8.05,M,0.51,5.00,BKN,OVC,M,800.00,1200.00,M
ILM,2021-02-14 00:53,-77.9000,34.2700,41.00,92.52,330.00,8.05,1016.10,0.51,5.00,OVC,M,M,600.00,M,M
ILM,2021-02-14 00:55,-77.9000,34.2700,M,M,330.00,5.75,M,M,5.00,OVC,M,M,600.00,M,M
ILM,2021-02-14 01:00,-77.9000,34.2700,M,M,340.00,10.35,M,M,5.00,BKN,OVC,M,800.00,1300.00,M
ILM,2021-02-14 01:05,-77.9000,34.2700,M,M,350.00,9.20,M,M,5.00,BKN,OVC,M,800.00,1300.00,M
ILM,2021-02-14 01:10,-77.9000,34.2700,M,M,340.00,11.50,M,0.25,5.00,BKN,OVC,M,800.00,1300.00,M
ILM,2021-02-14 01:15,-77.9000,34.2700,M,M,340.00,8.05,M,0.25,6.00,BKN,OVC,M,700.00,1300.00,M
ILM,2021-02-14 01:20,-77.9000,34.2700,M,M,330.00,5.75,M,0.25,6.00,BKN,OVC,M,700.00,1300.00,M
ILM,2021-02-14 01:25,-77.9000,34.2700,M,M,350.00,8.05,M,0.25,4.00,BKN,OVC,M,700.00,1300.00,M
ILM,2021-02-14 01:30,-77.9000,34.2700,M,M,340.00,8.05,M,0.25,3.00,BKN,OVC,M,700.00,1300.00,M
ILM,2021-02-14 01:35,-77.9000,34.2700,M,M,350.00,8.05,M,0.51,3.00,BKN,OVC,M,700.00,1300.00,M
ILM,2021-02-14 01:40,-77.9000,34.2700,M,M,350.00,10.35,M,0.51,4.00,BKN,OVC,M,700.00,1300.00,M
ILM,2021-02-14 01:45,-77.9000,34.2700,M,M,350.00,8.05,M,0.51,4.00,BKN,OVC,M,700.00,1300.00,M
ILM,2021-02-14 01:50,-77.9000,34.2700,M,M,340.00,10.35,M,0.51,4.00,BKN,OVC,M,700.00,1300.00,M
ILM,2021-02-14 01:53,-77.9000,34.2700,40.00,92.48,350.00,11.50,1016.20,0.51,5.00,BKN,OVC,M,700.00,1300.00,M
ILM,2021-02-14 01:55,-77.9000,34.2700,M,M,350.00,10.35,M,M,5.00,BKN,OVC,M,700.00,1300.00,M
ILM,2021-02-14 02:00,-77.9000,34.2700,M,M,350.00,9.20,M,M,5.00,BKN,OVC,M,700.00,1300.00,M
ILM,2021-02-14 02:05,-77.9000,34.2700,M,M,350.00,9.20,M,M,5.00,BKN,OVC,M,700.00,1500.00,M
ILM,2021-02-14 02:10,-77.9000,34.2700,M,M,350.00,5.75,M,M,5.00,OVC,M,M,700.00,M,M
ILM,2021-02-14 02:15,-77.9000,34.2700,M,M,10.00,5.75,M,M,7.00,BKN,OVC,M,700.00,1800.00,M
ILM,2021-02-14 02:20,-77.9000,34.2700,M,M,360.00,9.20,M,M,8.00,BKN,OVC,M,700.00,1800.00,M
ILM,2021-02-14 02:25,-77.9000,34.2700,M,M,350.00,4.60,M,M,10.00,BKN,OVC,M,700.00,1800.00,M
ILM,2021-02-14 02:30,-77.9000,34.2700,M,M,330.00,5.75,M,M,10.00,OVC,M,M,700.00,M,M
ILM,2021-02-14 02:35,-77.9000,34.2700,M,M,360.00,9.20,M,M,8.00,OVC,M,M,700.00,M,M
ILM,2021-02-14 02:40,-77.9000,34.2700,M,M,360.00,8.05,M,M,5.00,BKN,OVC,M,700.00,1700.00,M
ILM,2021-02-14 02:45,-77.9000,34.2700,M,M,10.00,8.05,M,M,4.00,BKN,OVC,M,700.00,1700.00,M
ILM,2021-02-14 02:50,-77.9000,34.2700,M,M,360.00,5.75,M,M,4.00,BKN,OVC,M,700.00,1500.00,M
ILM,2021-02-14 02:53,-77.9000,34.2700,40.00,92.48,10.00,6.90,1016.40,0.00,3.00,BKN,OVC,M,700.00,1500.00,M
ILM,2021-02-14 02:55,-77.9000,34.2700,M,M,360.00,5.75,M,M,3.00,BKN,OVC,M,700.00,1500.00,M
ILM,2021-02-14 03:00,-77.9000,34.2700,M,M,10.00,4.60,M,M,3.00,BKN,OVC,M,600.00,1500.00,M
ILM,2021-02-14 03:05,-77.9000,34.2700,M,M,360.00,5.75,M,M,4.00,BKN,OVC,M,600.00,1500.00,M
ILM,2021-02-14 03:10,-77.9000,34.2700,M,M,10.00,4.60,M,M,4.00,BKN,OVC,M,600.00,1900.00,M
ILM,2021-02-14 03:15,-77.9000,34.2700,M,M,360.00,5.75,M,M,5.00,BKN,BKN,OVC,600.00,1600.00,2100.00
ILM,2021-02-14 03:20,-77.9000,34.2700,M,M,10.00,5.75,M,M,5.00,BKN,BKN,OVC,600.00,1600.00,2100.00
ILM,2021-02-14 03:25,-77.9000,34.2700,M,M,20.00,4.60,M,M,6.00,BKN,OVC,M,600.00,2000.00,M
ILM,2021-02-14 03:30,-77.9000,34.2700,M,M,30.00,5.75,M,M,8.00,BKN,OVC,M,600.00,2000.00,M
ILM,2021-02-14 03:35,-77.9000,34.2700,M,M,30.00,5.75,M,M,10.00,BKN,OVC,M,600.00,2000.00,M
ILM,2021-02-14 03:40,-77.9000,34.2700,M,M,30.00,5.75,M,M,10.00,BKN,OVC,M,700.00,2000.00,M
ILM,2021-02-14 03:45,-77.9000,34.2700,M,M,30.00,5.75,M,M,10.00,BKN,OVC,M,700.00,2000.00,M
ILM,2021-02-14 03:50,-77.9000,34.2700,M,M,50.00,5.75,M,M,10.00,SCT,BKN,OVC,700.00,2000.00,3200.00
ILM,2021-02-14 03:53,-77.9000,34.2700,40.00,92.48,40.00,5.75,1016.50,0.00,10.00,SCT,BKN,OVC,700.00,2000.00,3200.00
ILM,2021-02-14 03:55,-77.9000,34.2700,M,M,40.00,5.75,M,M,10.00,SCT,BKN,OVC,700.00,2000.00,3200.00
ILM,2021-02-14 04:00,-77.9000,34.2700,M,M,60.00,4.60,M,M,10.00,SCT,OVC,M,700.00,2000.00,M
ILM,2021-02-14 04:05,-77.9000,34.2700,M,M,50.00,5.75,M,M,10.00,FEW,BKN,OVC,700.00,2000.00,3000.00
ILM,2021-02-14 04:10,-77.9000,34.2700,M,M,60.00,5.75,M,M,10.00,FEW,BKN,OVC,600.00,2000.00,3000.00
ILM,2021-02-14 04:15,-77.9000,34.2700,M,M,60.00,4.60,M,M,10.00,FEW,SCT,OVC,600.00,2000.00,2700.00
ILM,2021-02-14 04:20,-77.9000,34.2700,M,M,60.00,4.60,M,M,10.00,FEW,SCT,OVC,600.00,2000.00,2700.00
ILM,2021-02-14 04:25,-77.9000,34.2700,M,M,50.00,4.60,M,M,10.00,FEW,OVC,M,2000.00,2700.00,M
ILM,2021-02-14 04:30,-77.9000,34.2700,M,M,0.00,0.00,M,M,10.00,SCT,OVC,M,2000.00,2700.00,M
ILM,2021-02-14 04:35,-77.9000,34.2700,M,M,0.00,0.00,M,M,10.00,BKN,OVC,M,1800.00,2600.00,M
ILM,2021-02-14 04:40,-77.9000,34.2700,M,M,0.00,0.00,M,M,10.00,BKN,OVC,M,1800.00,2600.00,M
ILM,2021-02-14 04:45,-77.9000,34.2700,M,M,340.00,2.30,M,M,10.00,BKN,OVC,M,1600.00,2600.00,M
ILM,2021-02-14 04:50,-77.9000,34.2700,M,M,340.00,4.60,M,M,10.00,OVC,M,M,1600.00,M,M
ILM,2021-02-14 04:53,-77.9000,34.2700,40.00,92.48,340.00,4.60,1016.70,0.00,10.00,OVC,M,M,1600.00,M,M
ILM,2021-02-14 04:55,-77.9000,34.2700,M,M,340.00,4.60,M,M,10.00,OVC,M,M,1600.00,M,M
ILM,2021-02-14 05:00,-77.9000,34.2700,M,M,330.00,5.75,M,M,10.00,FEW,OVC,M,800.00,1600.00,M
ILM,2021-02-14 05:05,-77.9000,34.2700,41.00,88.62,330.00,8.05,M,0.00,10.00,SCT,OVC,M,800.00,1600.00,M
ILM,2021-02-14 05:05,-77.9000,34.2700,M,M,330.00,8.05,M,M,10.00,SCT,OVC,M,800.00,1600.00,M
ILM,2021-02-14 05:10,-77.9000,34.2700,M,M,330.00,5.75,M,M,10.00,BKN,OVC,M,800.00,1600.00,M
ILM,2021-02-14 05:14,-77.9000,34.2700,40.00,92.48,330.00,6.90,M,0.00,10.00,BKN,OVC,M,800.00,1600.00,M
ILM,2021-02-14 05:15,-77.9000,34.2700,M,M,340.00,5.75,M,M,10.00,BKN,OVC,M,800.00,1600.00,M
ILM,2021-02-14 05:20,-77.9000,34.2700,M,M,340.00,4.60,M,M,10.00,BKN,OVC,M,700.00,1500.00,M
ILM,2021-02-14 05:25,-77.9000,34.2700,M,M,350.00,5.75,M,M,10.00,OVC,M,M,700.00,M,M
ILM,2021-02-14 05:30,-77.9000,34.2700,M,M,330.00,5.75,M,M,10.00,OVC,M,M,600.00,M,M
ILM,2021-02-14 05:35,-77.9000,34.2700,M,M,330.00,5.75,M,M,7.00,OVC,M,M,600.00,M,M
ILM,2021-02-14 05:40,-77.9000,34.2700,M,M,340.00,5.75,M,M,6.00,OVC,M,M,500.00,M,M
ILM,2021-02-14 05:45,-77.9000,34.2700,M,M,330.00,9.20,M,M,4.00,OVC,M,M,500.00,M,M
ILM,2021-02-14 05:50,-77.9000,34.2700,M,M,340.00,9.20,M,M,3.00,OVC,M,M,500.00,M,M
ILM,2021-02-14 05:53,-77.9000,34.2700,40.00,92.48,340.00,9.20,1017.30,0.00,3.00,OVC,M,M,500.00,M,M
ILM,2021-02-14 05:55,-77.9000,34.2700,M,M,330.00,10.35,M,M,3.00,OVC,M,M,500.00,M,M
ILM,2021-02-14 06:00,-77.9000,34.2700,M,M,340.00,8.05,M,M,2.50,OVC,M,M,500.00,M,M
ILM,2021-02-14 06:04,-77.9000,34.2700,40.00,92.48,350.00,6.90,M,0.00,2.50,OVC,M,M,500.00,M,M
ILM,2021-02-14 06:05,-77.9000,34.2700,M,M,360.00,5.75,M,M,2.50,OVC,M,M,500.00,M,M
