                station,valid,lon,lat,tmpf,relh,drct,sped,mslp,p01m,vsby,skyc1,skyc2,skyc3,skyl1,skyl2,skyl3
                 MKC,2023-05-19 00:00,-94.593,39.123,M,M,160.00,9.20,M,M,10.0,FEW,SCT,M,7500.00,9500.00,M
                 MKC,2023-05-19 00:05,-94.593,39.123,M,M,170.00,9.20,M,M,10.0,FEW,SCT,M,7500.00,9500.00,M
                         MKC,2023-05-19 00:10,-94.593,39.123,M,M,180.00,8.05,M,M,10.0,FEW,M,M,7500.00,M,M
                               MKC,2023-05-19 00:15,-94.593,39.123,M,M,180.00,9.20,M,M,10.0,CLR,M,M,M,M,M
                               MKC,2023-05-19 00:20,-94.593,39.123,M,M,180.00,9.20,M,M,10.0,CLR,M,M,M,M,M
                               MKC,2023-05-19 00:25,-94.593,39.123,M,M,180.00,9.20,M,M,10.0,CLR,M,M,M,M,M
                               MKC,2023-05-19 00:30,-94.593,39.123,M,M,190.00,9.20,M,M,10.0,CLR,M,M,M,M,M
                               MKC,2023-05-19 00:35,-94.593,39.123,M,M,190.00,9.20,M,M,10.0,CLR,M,M,M,M,M
                               MKC,2023-05-19 00:40,-94.593,39.123,M,M,180.00,5.75,M,M,10.0,CLR,M,M,M,M,M
                         MKC,2023-05-19 00:45,-94.593,39.123,M,M,190.00,8.05,M,M,10.0,FEW,M,M,6500.00,M,M
                         MKC,2023-05-19 00:50,-94.593,39.123,M,M,180.00,9.20,M,M,10.0,FEW,M,M,6500.00,M,M
        MKC,2023-05-19 00:54,-94.593,39.123,79.00,46.87,180.00,6.90,1011.50,0.00,10.0,FEW,M,M,6500.00,M,M
                         MKC,2023-05-19 00:55,-94.593,39.123,M,M,180.00,8.05,M,M,10.0,FEW,M,M,6500.00,M,M
                         MKC,2023-05-19 01:00,-94.593,39.123,M,M,190.00,5.75,M,M,10.0,FEW,M,M,6500.00,M,M
                         MKC,2023-05-19 01:05,-94.593,39.123,M,M,170.00,8.05,M,M,10.0,FEW,M,M,6500.00,M,M
                               MKC,2023-05-19 01:10,-94.593,39.123,M,M,180.00,9.20,M,M,10.0,CLR,M,M,M,M,M
                               MKC,2023-05-19 01:15,-94.593,39.123,M,M,180.00,8.05,M,M,10.0,CLR,M,M,M,M,M
                         MKC,2023-05-19 01:20,-94.593,39.123,M,M,170.00,8.05,M,M,10.0,FEW,M,M,7000.00,M,M
                         MKC,2023-05-19 01:25,-94.593,39.123,M,M,180.00,5.75,M,M,10.0,FEW,M,M,7000.00,M,M
