#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2021-06-07 00:00:00+00:00 2021-06-08 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf,relh,drct,sped,mslp,p01m,vsby,skyc1,skyc2,skyc3,skyl1,skyl2,skyl3
PHX,2021-06-07 00:00,-112.0116,33.4343,M,M,250.00,5.75,M,M,10.00,M,M,M,M,M,M
PHX,2021-06-07 00:05,-112.0116,33.4343,M,M,210.00,5.75,M,M,10.00,M,M,M,M,M,M
PHX,2021-06-07 00:10,-112.0116,33.4343,M,M,180.00,5.75,M,M,10.00,M,M,M,M,M,M
PHX,2021-06-07 00:15,-112.0116,33.4343,M,M,210.00,5.75,M,M,10.00,M,M,M,M,M,M
PHX,2021-06-07 00:20,-112.0116,33.4343,M,M,330.00,9.20,M,M,10.00,M,M,M,M,M,M
PHX,2021-06-07 00:25,-112.0116,33.4343,M,M,M,14.95,M,M,10.00,M,M,M,M,M,M
PHX,2021-06-07 00:30,-112.0116,33.4343,M,M,M,18.40,M,M,10.00,M,M,M,M,M,M
PHX,2021-06-07 00:35,-112.0116,33.4343,M,M,280.00,11.50,M,M,10.00,M,M,M,M,M,M
PHX,2021-06-07 00:40,-112.0116,33.4343,M,M,280.00,19.55,M,M,10.00,M,M,M,M,M,M
PHX,2021-06-07 00:45,-112.0116,33.4343,M,M,280.00,18.40,M,M,10.00,M,M,M,M,M,M
PHX,2021-06-07 00:50,-112.0116,33.4343,M,M,280.00,21.85,M,M,10.00,M,M,M,M,M,M
PHX,2021-06-07 00:51,-112.0116,33.4343,103.00,5.42,280.00,23.00,1002.20,0.00,10.00,FEW,M,M,22000.00,M,M
PHX,2021-06-07 00:55,-112.0116,33.4343,M,M,280.00,19.55,M,M,10.00,M,M,M,M,M,M
PHX,2021-06-07 01:00,-112.0116,33.4343,M,M,270.00,18.40,M,M,10.00,M,M,M,M,M,M
PHX,2021-06-07 01:05,-112.0116,33.4343,M,M,280.00,14.95,M,M,10.00,M,M,M,M,M,M
PHX,2021-06-07 01:10,-112.0116,33.4343,M,M,300.00,19.55,M,M,10.00,M,M,M,M,M,M
PHX,2021-06-07 01:15,-112.0116,33.4343,M,M,290.00,19.55,M,M,10.00,M,M,M,M,M,M
PHX,2021-06-07 01:20,-112.0116,33.4343,M,M,290.00,18.40,M,M,9.00,M,M,M,M,M,M
PHX,2021-06-07 01:25,-112.0116,33.4343,M,M,280.00,19.55,M,M,9.00,M,M,M,M,M,M
PHX,2021-06-07 01:30,-112.0116,33.4343,M,M,290.00,19.55,M,M,10.00,M,M,M,M,M,M
