#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2020-08-20 00:00:00+00:00 2020-08-21 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf,relh,drct,sped,mslp,p01m,vsby,skyc1,skyc2,skyc3,skyl1,skyl2,skyl3
RBG,2020-08-20 00:00,-123.3559,43.2388,M,M,330.00,12.65,M,M,10.00,CLR,M,M,M,M,M
RBG,2020-08-20 00:05,-123.3559,43.2388,M,M,320.00,11.50,M,M,10.00,CLR,M,M,M,M,M
RBG,2020-08-20 00:15,-123.3559,43.2388,M,M,340.00,12.65,M,M,10.00,CLR,M,M,M,M,M
RBG,2020-08-20 00:30,-123.3559,43.2388,M,M,330.00,12.65,M,M,10.00,CLR,M,M,M,M,M
RBG,2020-08-20 00:35,-123.3559,43.2388,M,M,330.00,9.20,M,M,10.00,CLR,M,M,M,M,M
RBG,2020-08-20 00:40,-123.3559,43.2388,M,M,340.00,10.35,M,M,10.00,CLR,M,M,M,M,M
RBG,2020-08-20 00:45,-123.3559,43.2388,M,M,360.00,10.35,M,M,10.00,CLR,M,M,M,M,M
RBG,2020-08-20 00:50,-123.3559,43.2388,M,M,330.00,10.35,M,M,10.00,CLR,M,M,M,M,M
RBG,2020-08-20 00:53,-123.3559,43.2388,87.00,25.90,350.00,11.50,1011.90,0.00,10.00,CLR,M,M,M,M,M
RBG,2020-08-20 00:55,-123.3559,43.2388,M,M,340.00,8.05,M,M,10.00,CLR,M,M,M,M,M
RBG,2020-08-20 01:00,-123.3559,43.2388,M,M,330.00,10.35,M,M,10.00,CLR,M,M,M,M,M
RBG,2020-08-20 01:05,-123.3559,43.2388,M,M,330.00,12.65,M,M,10.00,CLR,M,M,M,M,M
RBG,2020-08-20 01:15,-123.3559,43.2388,M,M,340.00,10.35,M,M,10.00,CLR,M,M,M,M,M
RBG,2020-08-20 01:20,-123.3559,43.2388,M,M,340.00,9.20,M,M,10.00,CLR,M,M,M,M,M
RBG,2020-08-20 01:30,-123.3559,43.2388,M,M,310.00,5.75,M,M,10.00,CLR,M,M,M,M,M
RBG,2020-08-20 01:40,-123.3559,43.2388,M,M,320.00,5.75,M,M,10.00,CLR,M,M,M,M,M
RBG,2020-08-20 01:45,-123.3559,43.2388,M,M,310.00,9.20,M,M,10.00,CLR,M,M,M,M,M
RBG,2020-08-20 01:53,-123.3559,43.2388,82.00,35.41,310.00,8.05,1012.50,0.00,10.00,CLR,M,M,M,M,M
RBG,2020-08-20 01:55,-123.3559,43.2388,M,M,310.00,5.75,M,M,10.00,CLR,M,M,M,M,M
RBG,2020-08-20 02:00,-123.3559,43.2388,M,M,310.00,5.75,M,M,10.00,CLR,M,M,M,M,M
RBG,2020-08-20 02:05,-123.3559,43.2388,M,M,300.00,5.75,M,M,10.00,CLR,M,M,M,M,M
RBG,2020-08-20 02:10,-123.3559,43.2388,M,M,310.00,5.75,M,M,10.00,CLR,M,M,M,M,M
RBG,2020-08-20 02:20,-123.3559,43.2388,M,M,310.00,5.75,M,M,10.00,CLR,M,M,M,M,M
RBG,2020-08-20 02:25,-123.3559,43.2388,M,M,330.00,5.75,M,M,10.00,CLR,M,M,M,M,M
RBG,2020-08-20 02:40,-123.3559,43.2388,M,M,340.00,5.75,M,M,10.00,CLR,M,M,M,M,M
RBG,2020-08-20 02:50,-123.3559,43.2388,M,M,320.00,8.05,M,M,10.00,CLR,M,M,M,M,M
RBG,2020-08-20 02:53,-123.3559,43.2388,76.00,45.06,320.00,4.60,1013.70,0.00,10.00,CLR,M,M,M,M,M
