#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2022-11-26 00:00:00+00:00 2022-11-27 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf,relh,drct,sped,mslp,p01m,vsby,skyc1,skyc2,skyc3,skyl1,skyl2,skyl3
RDU,2022-11-26 00:00,-78.7819,35.8922,M,M,330.00,5.75,M,M,10.00,CLR,M,M,M,M,M
RDU,2022-11-26 00:05,-78.7819,35.8922,M,M,340.00,4.60,M,M,10.00,CLR,M,M,M,M,M
RDU,2022-11-26 00:10,-78.7819,35.8922,M,M,330.00,5.75,M,M,10.00,CLR,M,M,M,M,M
RDU,2022-11-26 00:15,-78.7819,35.8922,M,M,300.00,5.75,M,M,10.00,CLR,M,M,M,M,M
RDU,2022-11-26 00:20,-78.7819,35.8922,M,M,330.00,4.60,M,M,10.00,CLR,M,M,M,M,M
RDU,2022-11-26 00:25,-78.7819,35.8922,M,M,320.00,4.60,M,M,10.00,CLR,M,M,M,M,M
RDU,2022-11-26 00:30,-78.7819,35.8922,M,M,310.00,5.75,M,M,10.00,CLR,M,M,M,M,M
RDU,2022-11-26 00:35,-78.7819,35.8922,M,M,330.00,5.75,M,M,10.00,CLR,M,M,M,M,M
RDU,2022-11-26 00:40,-78.7819,35.8922,M,M,330.00,4.60,M,M,10.00,CLR,M,M,M,M,M
RDU,2022-11-26 00:45,-78.7819,35.8922,M,M,0.00,0.00,M,M,10.00,CLR,M,M,M,M,M
RDU,2022-11-26 00:50,-78.7819,35.8922,M,M,300.00,2.30,M,M,10.00,CLR,M,M,M,M,M
RDU,2022-11-26 00:51,-78.7819,35.8922,59.00,57.66,300.00,4.60,1016.90,0.00,10.00,CLR,M,M,M,M,M
RDU,2022-11-26 00:55,-78.7819,35.8922,M,M,330.00,4.60,M,M,10.00,M,M,M,M,M,M
