    station,valid,lon,lat,tmpf,relh,drct,sped,mslp,p01m,vsby,skyc1,skyc2,skyc3,skyl1,skyl2,skyl3
                  TUS,2021-04-30 00:00,-110.938,32.1203,M,M,60.00,11.50,M,M,10.0,CLR,M,M,M,M,M
                  TUS,2021-04-30 00:05,-110.938,32.1203,M,M,60.00,10.35,M,M,10.0,CLR,M,M,M,M,M
                  TUS,2021-04-30 00:10,-110.938,32.1203,M,M,70.00,10.35,M,M,10.0,CLR,M,M,M,M,M
                   TUS,2021-04-30 00:15,-110.938,32.1203,M,M,90.00,5.75,M,M,10.0,CLR,M,M,M,M,M
                  TUS,2021-04-30 00:20,-110.938,32.1203,M,M,320.00,2.30,M,M,10.0,CLR,M,M,M,M,M
                   TUS,2021-04-30 00:25,-110.938,32.1203,M,M,10.00,5.75,M,M,10.0,CLR,M,M,M,M,M
                  TUS,2021-04-30 00:30,-110.938,32.1203,M,M,100.00,5.75,M,M,10.0,CLR,M,M,M,M,M
                  TUS,2021-04-30 00:35,-110.938,32.1203,M,M,100.00,8.05,M,M,10.0,CLR,M,M,M,M,M
                  TUS,2021-04-30 00:40,-110.938,32.1203,M,M,220.00,2.30,M,M,10.0,CLR,M,M,M,M,M
                   TUS,2021-04-30 00:45,-110.938,32.1203,M,M,80.00,5.75,M,M,10.0,CLR,M,M,M,M,M
                   TUS,2021-04-30 00:50,-110.938,32.1203,M,M,70.00,5.75,M,M,10.0,CLR,M,M,M,M,M
 TUS,2021-04-30 00:53,-110.938,32.1203,82.00,15.66,100.00,6.90,1016.70,0.00,10.0,CLR,M,M,M,M,M
                   TUS,2021-04-30 00:55,-110.938,32.1203,M,M,80.00,5.75,M,M,10.0,CLR,M,M,M,M,M
                   TUS,2021-04-30 01:00,-110.938,32.1203,M,M,50.00,5.75,M,M,10.0,CLR,M,M,M,M,M
                  TUS,2021-04-30 01:05,-110.938,32.1203,M,M,110.00,8.05,M,M,10.0,CLR,M,M,M,M,M
                 TUS,2021-04-30 01:10,-110.938,32.1203,M,M,130.00,10.35,M,M,10.0,CLR,M,M,M,M,M
                 TUS,2021-04-30 01:15,-110.938,32.1203,M,M,130.00,12.65,M,M,10.0,CLR,M,M,M,M,M
                 TUS,2021-04-30 01:20,-110.938,32.1203,M,M,130.00,16.10,M,M,10.0,CLR,M,M,M,M,M
                 TUS,2021-04-30 01:25,-110.938,32.1203,M,M,130.00,12.65,M,M,10.0,CLR,M,M,M,M,M
                 TUS,2021-04-30 01:30,-110.938,32.1203,M,M,130.00,14.95,M,M,10.0,CLR,M,M,M,M,M
                 TUS,2021-04-30 01:35,-110.938,32.1203,M,M,140.00,17.25,M,M,10.0,CLR,M,M,M,M,M
                 TUS,2021-04-30 01:40,-110.938,32.1203,M,M,140.00,16.10,M,M,10.0,CLR,M,M,M,M,M
                 TUS,2021-04-30 01:45,-110.938,32.1203,M,M,150.00,16.10,M,M,10.0,CLR,M,M,M,M,M
                 TUS,2021-04-30 01:50,-110.938,32.1203,M,M,150.00,16.10,M,M,10.0,CLR,M,M,M,M,M
TUS,2021-04-30 01:53,-110.938,32.1203,79.00,17.28,150.00,14.95,1016.90,0.00,10.0,CLR,M,M,M,M,M
